1512086400000,9837.00000000,9900.03000000,9712.00000000,9800.00000000,135.81584800,1512088199999,1337998.07840359,864,83.52852100,823421.01690646,0
1512088200000,9800.00000000,9879.95000000,9600.00000000,9685.00000000,140.15813900,1512089999999,1363926.55627372,742,81.77418300,795415.36345942,0
1512090000000,9685.02000000,9720.00000000,9550.00000000,9555.00000000,164.11529100,1512091799999,1580205.86621065,922,77.16247700,743047.18748598,0
1512091800000,9565.01000000,9689.00000000,9559.96000000,9635.00000000,115.46323500,1512093599999,1110765.38552144,566,60.07009100,578203.14180848,0
1512093600000,9634.00000000,9680.54000000,9510.00000000,9535.04000000,90.33397900,1512095399999,865574.70480753,503,41.27673600,395721.29288128,0
1512095400000,9536.03000000,9720.03000000,9525.00000000,9719.00000000,116.74399000,1512097199999,1123584.78595987,691,60.94754700,586973.58012909,0
1512097200000,9702.00000000,9718.99000000,9600.00000000,9603.01000000,127.66550100,1512098999999,1233454.72086732,627,63.99244600,618516.51733479,0
1512099000000,9603.54000000,9719.98000000,9603.04000000,9698.23000000,77.62352600,1512100799999,749449.85141384,466,36.91975300,356452.58411955,0
1512100800000,9666.28000000,9924.99000000,9617.19000000,9850.22000000,93.15504600,1512102599999,908949.85509973,724,47.14183300,459750.75757935,0
1512102600000,9849.97000000,9860.00000000,9739.21000000,9840.00000000,118.35425400,1512104399999,1160569.51935036,551,69.03267200,676836.57526465,0
1512104400000,9832.55000000,9840.99000000,9654.00000000,9676.03000000,87.90352600,1512106199999,858689.13528061,462,46.47587900,454397.80861203,0
1512106200000,9676.00000000,9719.51000000,9531.00000000,9575.04000000,98.30248600,1512107999999,942437.60660008,641,46.68065900,447475.72187254,0
1512108000000,9575.04000000,9676.38000000,9540.02000000,9615.92000000,74.82944000,1512109799999,719098.85241561,399,41.47203500,398680.27055933,0
1512109800000,9590.00000000,9654.99000000,9436.01000000,9449.93000000,109.36613800,1512111599999,1045297.33355345,604,47.77256500,456685.52250022,0
1512111600000,9437.99000000,9494.99000000,9380.00000000,9455.10000000,163.39240900,1512113399999,1543647.16845044,776,84.33263000,797327.48050057,0
1512113400000,9455.11000000,9560.00000000,9446.99000000,9540.00000000,107.18309800,1512115199999,1020743.94274674,614,59.36953700,565894.66580142,0
1512115200000,9540.00000000,9719.99000000,9540.00000000,9692.00000000,104.72117900,1512116999999,1007370.75036200,618,64.76155900,622922.91469359,0
1512117000000,9700.01000000,9819.99000000,9636.01000000,9780.63000000,111.16072700,1512118799999,1081531.75390675,548,62.22118200,605175.15395953,0
1512118800000,9780.63000000,9862.00000000,9748.99000000,9850.00000000,118.75370100,1512120599999,1162334.44832858,530,58.36470300,571558.18115560,0
1512120600000,9857.00000000,9987.00000000,9815.04000000,9985.00000000,157.75681900,1512122399999,1567400.57468548,710,92.54921800,919555.77217882,0
1512122400000,9984.02000000,10000.00000000,9840.00000000,9863.59000000,133.96115800,1512124199999,1327736.96751433,722,76.18343800,754886.48365487,0
1512124200000,9912.44000000,9912.44000000,9758.13000000,9760.09000000,125.82632100,1512125999999,1237222.35169160,514,66.34505800,652506.25406306,0
1512126000000,9760.09000000,9949.00000000,9760.09000000,9941.09000000,94.95299500,1512127799999,937600.51702168,576,58.86394900,581191.82266438,0
1512127800000,9949.00000000,9989.19000000,9820.00000000,9956.24000000,127.00688900,1512129599999,1261286.40367890,635,58.23719500,578409.68139435,0
1512129600000,9960.01000000,10300.00000000,9960.01000000,10230.24000000,231.20928000,1512131399999,2347593.27388123,1191,124.10142600,1259996.61760000,0
1512131400000,10229.89000000,10300.00000000,10100.01000000,10120.42000000,143.96231800,1512133199999,1466181.54312522,758,75.66397100,771211.48231560,0
1512133200000,10120.34000000,10474.45000000,10120.33000000,10410.01000000,209.76931200,1512134999999,2173701.46688999,1175,131.95212100,1366924.18712395,0
1512135000000,10410.03000000,10734.80000000,10410.03000000,10659.63000000,242.53970800,1512136799999,2561489.70357358,1238,151.86887500,1602242.03991128,0
1512136800000,10659.25000000,10740.00000000,10530.00000000,10602.02000000,246.83177200,1512138599999,2625397.00784607,1184,133.30360700,1418961.34240009,0
1512138600000,10600.02000000,10615.57000000,10330.92000000,10439.98000000,262.57545400,1512140399999,2747517.18289242,1410,158.39357200,1654336.34000111,0
1512140400000,10439.98000000,10495.00000000,10330.91000000,10475.00000000,210.94299600,1512142199999,2197085.49439092,921,97.50559800,1015788.75399978,0
1512142200000,10475.49000000,10568.20000000,10410.51000000,10460.00000000,126.26002400,1512143999999,1324466.80830399,735,64.44568500,675885.66067215,0
1512144000000,10460.00000000,10570.00000000,10424.00000000,10500.08000000,129.07519600,1512145799999,1351376.63575874,609,64.55652100,676100.66310920,0
1512145800000,10500.08000000,10560.95000000,10483.05000000,10536.11000000,124.55122200,1512147599999,1310651.55699808,549,51.54725200,542601.21376141,0
1512147600000,10533.06000000,10533.06000000,10354.01000000,10475.88000000,90.04581400,1512149399999,940844.67251349,642,49.11927600,513191.41803922,0
1512149400000,10480.98000000,10531.58000000,10380.00000000,10386.03000000,110.77983800,1512151199999,1155242.20811909,559,53.51237000,557870.82454999,0
1512151200000,10392.81000000,10434.00000000,10386.03000000,10433.00000000,87.06321300,1512152999999,906365.19360544,392,48.28269500,502805.46870853,0
1512153000000,10432.98000000,10494.87000000,10432.98000000,10459.01000000,73.56970700,1512154799999,769611.04034323,352,36.00255700,376700.80354299,0
1512154800000,10459.01000000,10560.95000000,10458.08000000,10558.03000000,90.11048800,1512156599999,948698.23307803,427,42.33719300,445928.08614703,0
1512156600000,10557.59000000,10607.40000000,10501.01000000,10529.10000000,103.11485700,1512158399999,1090439.79326139,554,50.50279900,533924.21808479,0
1512158400000,10529.10000000,10634.74000000,10527.54000000,10634.74000000,90.98466300,1512160199999,960943.16512750,384,51.11810800,539896.83662477,0
1512160200000,10620.03000000,10789.00000000,10620.00000000,10700.53000000,150.48612400,1512161999999,1610931.02214780,649,90.71671800,971690.26302154,0
1512162000000,10700.72000000,10743.90000000,10667.28000000,10690.31000000,80.23938800,1512163799999,859202.87310314,506,37.26613600,399088.52052752,0
1512163800000,10702.72000000,10898.00000000,10690.29000000,10812.00000000,135.09065100,1512165599999,1460660.28363517,863,73.72253200,796916.73622656,0
1512165600000,10832.79000000,10897.99000000,10763.04000000,10784.98000000,84.88317900,1512167399999,918645.66065528,589,47.47096500,513747.51000999,0
1512167400000,10780.00000000,10784.99000000,10689.09000000,10751.04000000,101.73357700,1512169199999,1092240.18940657,558,51.60117800,553996.62507639,0
1512169200000,10751.04000000,10751.04000000,10560.01000000,10700.00000000,110.75834300,1512170999999,1183115.76207696,682,53.65526500,573053.89395798,0
1512171000000,10675.02000000,10790.99000000,10614.88000000,10782.99000000,103.80081400,1512172799999,1111419.68203788,443,45.74630200,489806.90992986,0
1512172800000,10775.04000000,10895.46000000,10751.00000000,10868.84000000,111.00727900,1512174599999,1201151.36443266,794,66.15581800,715942.91171205,0
1512174600000,10868.84000000,10957.00000000,10809.03000000,10900.00000000,132.69124100,1512176399999,1446716.74494209,784,69.00690100,752388.73403518,0
1512176400000,10904.00000000,10994.00000000,10870.02000000,10992.01000000,107.26094400,1512178199999,1174365.36270071,546,63.94982500,700224.25838193,0
1512178200000,10994.90000000,11100.00000000,10994.90000000,11014.11000000,158.88778100,1512179999999,1754184.67545428,1035,85.86594400,948322.09399010,0
1512180000000,11041.00000000,11055.00000000,10900.00000000,10965.52000000,123.19439400,1512181799999,1352424.00432375,796,66.47603700,730318.72017862,0
1512181800000,10977.73000000,11056.02000000,10965.52000000,11040.73000000,135.35009800,1512183599999,1489834.63159480,584,77.00895300,847511.16565409,0
1512183600000,11033.93000000,11040.73000000,10900.51000000,10930.03000000,100.54086400,1512185399999,1100643.09335469,573,51.56665900,564451.29449312,0
1512185400000,10930.02000000,10987.99000000,10871.90000000,10900.46000000,113.74600300,1512187199999,1245402.89617771,406,40.90373800,448070.59845316,0
1512187200000,10895.68000000,10934.98000000,10650.00000000,10695.11000000,173.73281000,1512188999999,1872603.88156265,939,85.09383700,916682.66230417,0
1512189000000,10692.56000000,10832.15000000,10665.00000000,10810.00000000,132.63607300,1512190799999,1424649.58322638,653,66.48703900,714632.78821582,0
1512190800000,10810.00000000,10841.76000000,10700.00000000,10706.65000000,92.04895800,1512192599999,990054.42067338,489,44.26976600,476242.95248751,0
1512192600000,10700.06000000,10899.22000000,10675.00000000,10885.81000000,89.27549400,1512194399999,961223.16875416,551,54.60229600,588235.76911462,0
1512194400000,10885.81000000,10945.00000000,10821.00000000,10870.32000000,107.13424200,1512196199999,1167698.77574227,507,44.98390600,490462.69301417,0
1512196200000,10876.17000000,10943.84000000,10856.00000000,10856.00000000,110.49171800,1512197999999,1205233.63581674,470,60.28928000,657854.09559439,0
1512198000000,10856.00000000,10900.10000000,10800.00000000,10874.01000000,94.75301400,1512199799999,1028015.53399820,476,52.59836400,570683.66447695,0
1512199800000,10875.25000000,10977.98000000,10868.81000000,10931.04000000,99.30234300,1512201599999,1084694.92748378,525,52.55240200,574109.03478027,0
1512201600000,10926.38000000,10960.00000000,10834.22000000,10940.05000000,110.52589300,1512203399999,1204888.99717181,515,54.73520600,596710.40153927,0
1512203400000,10960.00000000,10970.00000000,10901.00000000,10928.86000000,102.66113800,1512205199999,1123552.15145595,500,52.15735600,570905.65102355,0
1512205200000,10959.99000000,11160.00000000,10930.01000000,11100.02000000,141.92903900,1512206999999,1572308.74618649,982,69.64091100,771155.03267344,0
1512207000000,11104.00000000,11160.00000000,11001.01000000,11128.23000000,128.92951800,1512208799999,1430708.61465191,669,66.40153500,736876.85847551,0
1512208800000,11130.21000000,11190.00000000,11111.00000000,11129.99000000,106.34428100,1512210599999,1185270.08317546,837,58.27983500,649715.70922228,0
1512210600000,11129.52000000,11156.99000000,11080.01000000,11094.99000000,97.07604100,1512212399999,1081169.79710538,649,46.41006600,516916.42170458,0
